College Name,Branch Name,Cutoff Rank,City,OPEN Percentile,SC Percentile,ST Percentile,NT1 Percentile,OBC Percentile,EWS Percentile,TWFS Percentile
J.E.S.S. College of Pharmacy,Pharmacy,29471,Nandurbar,63.29,34.41,61.03,45.84,54.62,32.88,72.25
Gokhale Education Society's Sir Dr. M.S.Gosavi College of Pharmaceutical Education & Research,Pharmacy,8526,Nashik,88.65,82.59,75.25,88.60,87.81,85.21,94.76
Abasaheb Kakade College of B Pharmacy,Pharmacy,21362,Ahmednagar,74.11,49.57,25.65,59.08,71.21,80.06,93.00
Pravara Rural Education Society's College of PHarmacy (D.Pharm),Pharmacy,21724,Chincholi,73.68,41.11,62.00,69.66,71.05,56.73,83.38
Pratibhatai Pawer College of Pharmacy,Pharmacy,32685,Shrirampur,57.90,3.39,17.47,47.41,50.61,65.02,71.85
R.G.Sapkal Institute of Pharmacy,Pharmacy,22510,Anjaneri,72.93,66.45,61.03,61.83,69.40,67.35,83.70
Prof. Ravindra Nikam College of Pharmacy,Pharmacy,33346,Dhule,56.56,40.33,19.70,56.39,49.04,2.58,66.92
Trimurti Institute of Pharmacy Paldhi (BK),Pharmacy,28982,Jalgaon,64.31,37.14,49.57,60.13,69.30,12.08,77.25
Dr Naikwadi College of D Pharmacy,Pharmacy,40868,Jamgaon Sinnar,39.43,13.54,11.14,4.32,18.97,43.24,54.60
MET's Institute of D. Pharmacy,Pharmacy,13237,Nashik,83.49,76.44,78.79,82.38,83.09,82.41,94.34
Divine College of Pharmacy,Pharmacy,23625,Satana,71.26,36.01,55.91,62.23,69.33,38.40,84.85
